track,quarter_region,activity,available_quarters,year,selected_route_id,selected_basis,baseline_predicted_eok,selected_predicted_eok,official_annual_eok,baseline_error_eok,selected_error_eok,baseline_abs_error_eok,selected_abs_error_eok,baseline_ape_pct,selected_ape_pct,target_candidate_ape_pct_if_adopted
recursive_no_target_actual,대구,금융 및 보험업,1,2023,baseline,no_prior_positive_route,42548.17750947223,42548.17750947223,42718.49,-170.31249052776548,-170.31249052776548,170.31249052776548,170.31249052776548,0.398685652343436,0.39868565234343606,
recursive_no_target_actual,대구,금융 및 보험업,1,2024,baseline,no_prior_positive_route,42602.81995210856,42602.81995210856,43097.89,-495.0700478914368,-495.0700478914368,495.0700478914368,495.0700478914368,1.1487106396425366,1.1487106396425366,
recursive_no_target_actual,대구,금융 및 보험업,1,2025,baseline,no_prior_positive_route,46132.28190458747,46132.28190458747,43932.46,2199.821904587472,2199.821904587472,2199.821904587472,2199.821904587472,5.007281414670319,5.007281414670319,
recursive_no_target_actual,대구,금융 및 보험업,2,2021,baseline,no_prior_positive_route,41691.107094972554,41691.107094972554,39905.149999999994,1785.9570949725603,1785.9570949725603,1785.9570949725603,1785.9570949725603,4.475505279325001,4.475505279325001,
recursive_no_target_actual,대구,금융 및 보험업,2,2022,baseline,no_prior_positive_route,41745.21452309437,41745.21452309437,41970.58,-225.36547690563748,-225.36547690563748,225.36547690563748,225.36547690563748,0.5369605969363241,0.5369605969363241,
recursive_no_target_actual,대구,금융 및 보험업,2,2023,baseline,no_prior_positive_route,42676.33854596768,42676.33854596768,42718.49,-42.151454032318725,-42.151454032318725,42.151454032318725,42.151454032318725,0.0986726216968781,0.09867262169687815,
recursive_no_target_actual,대구,금융 및 보험업,2,2024,baseline,no_prior_positive_route,42715.6075122962,42715.6075122962,43097.89,-382.28248770380014,-382.28248770380014,382.28248770380014,382.28248770380014,0.8870097531545051,0.8870097531545051,
recursive_no_target_actual,대구,금융 및 보험업,2,2025,baseline,no_prior_positive_route,45914.10820467962,45914.10820467962,43932.46,1981.6482046796227,1981.6482046796227,1981.6482046796227,1981.6482046796227,4.510669797866139,4.510669797866139,
recursive_no_target_actual,대구,금융 및 보험업,3,2021,baseline,no_prior_positive_route,41633.33033803726,41633.33033803726,39905.149999999994,1728.1803380372658,1728.1803380372658,1728.1803380372658,1728.1803380372658,4.330720065047409,4.330720065047409,
recursive_no_target_actual,대구,금융 및 보험업,3,2022,regional_service_production_index_K,prior_positive_improvement_46.893_eok,41144.90589846768,41240.781796652984,41970.58,-825.6741015323205,-729.798203347018,825.6741015323205,729.798203347018,1.96726874284873,1.7388327808360475,1.7388327808360475
