track,route_id,activity,available_quarters,rows,baseline_abs_error_sum_eok,candidate_abs_error_sum_eok,official_sum_eok,improved_rows,baseline_wape_pct,candidate_wape_pct,delta_wape_pp,adopt_route
recursive_no_target_actual,regional_service_production_index_M_N,사업서비스업,2,22,28067.36694932524,21444.95055494435,747989.9700000001,13,3.7523721005677704,2.8670104433277825,-0.8853616572399878,True
recursive_no_target_actual,regional_service_production_index_M_N,사업서비스업,3,22,26312.212848533753,25145.361106340624,747989.9700000001,12,3.517722683973122,3.3617243699592154,-0.15599831401390674,True
recursive_no_target_actual,regional_service_production_index_M_N,사업서비스업,4,22,27065.28238588423,23938.347803753426,747989.9700000001,14,3.618401779623359,3.2003567913822994,-0.41804498824105973,True
recursive_no_target_actual,regional_service_production_index_P,교육 서비스업,1,23,11391.055169699377,21673.377050113537,786208.4600000002,6,1.4488593991597818,2.756695984944442,1.3078365857846603,False
recursive_no_target_actual,regional_service_production_index_P,교육 서비스업,2,23,9584.516144543853,18878.64616369558,786208.4600000002,6,1.219080769563819,2.40122653522395,1.1821457656601309,False
recursive_no_target_actual,regional_service_production_index_P,교육 서비스업,3,23,8401.279890140384,20195.759459056004,786208.4600000002,6,1.06858172069789,2.5687537703494057,1.5001720496515156,False
recursive_no_target_actual,regional_service_production_index_P,교육 서비스업,4,23,8248.020141441248,20811.78401826063,786208.4600000002,6,1.0490881949351252,2.6471076154866897,1.5980194205515645,False
recursive_no_target_actual,regional_service_production_index_Q,보건 및 사회복지업,1,24,27006.240057351308,28162.33742312416,911574.23,11,2.9625936285354744,3.0894178988719507,0.12682427033647636,False
recursive_no_target_actual,regional_service_production_index_Q,보건 및 사회복지업,2,24,22355.5026233666,17692.810577963708,911574.23,12,2.4524061659099994,1.9409072783862822,-0.5114988875237172,True
recursive_no_target_actual,regional_service_production_index_Q,보건 및 사회복지업,3,24,19461.603299124246,15171.6117355582,911574.23,11,2.134944435531514,1.664330916370705,-0.47061351916080896,True
recursive_no_target_actual,regional_service_production_index_Q,보건 및 사회복지업,4,24,18477.903261589923,12709.639812947058,911574.23,12,2.0270322101569196,1.3942517674010002,-0.6327804427559194,True
recursive_no_target_actual,regional_service_production_index_R_S,문화 및 기타서비스업,1,25,20465.874894503853,63800.81397793877,461528.81999999995,4,4.434365527705043,13.823798474370196,9.389432946665153,False
recursive_no_target_actual,regional_service_production_index_R_S,문화 및 기타서비스업,2,25,18072.479995359674,59478.70343289967,461528.81999999995,6,3.9157857997599534,12.887321626610376,8.971535826850422,False
recursive_no_target_actual,regional_service_production_index_R_S,문화 및 기타서비스업,3,25,17973.25356322481,59996.65285183741,461528.81999999995,8,3.8942862903393145,12.999546345087923,9.105260054748609,False
recursive_no_target_actual,regional_service_production_index_R_S,문화 및 기타서비스업,4,25,17300.973994763008,60271.65573349311,461528.81999999995,8,3.748622674259651,13.059131547514871,9.31050887325522,False
recursive_no_target_actual,regional_service_production_index_T,서비스업,1,21,288641.1670794348,215194.8005610901,7992596.220000001,13,3.611356799898929,2.6924267739511816,-0.9189300259477475,True
recursive_no_target_actual,regional_service_production_index_T,서비스업,2,21,243107.76851970406,151860.77207045018,7992596.220000001,11,3.0416620811066575,1.9000180653496113,-1.1416440157570462,True
recursive_no_target_actual,regional_service_production_index_T,서비스업,3,21,226583.82444037695,119885.92394195443,7992596.220000001,10,2.8349214473438886,1.4999622230629137,-1.334959224280975,True
recursive_no_target_actual,regional_service_production_index_T,서비스업,4,21,220740.228227415,120085.13841417606,7992596.220000001,9,2.761808830966004,1.502454710694444,-1.25935412027156,True
